# chinese-xinhua fe6d6c2e8baa82187f4c96bbe042e43f96c05666 | entries 45705
嗄	á	汉字 · 13画 · 部首口	嗄〈叹〉 同啊”。表示省悟或惊奇 嗄!难道这里是没有地方官的么?--宋·佚名《新编五代史平话》 嗄á叹词。在句首，〈表〉疑问或反问～，这是什么？～，你想干什么？"嗄"另见shà㈠。 嗄shà ⒈声音嘶哑～声。 嗄a 1.助词。表示强调﹑肯定或辩解。 2.助词。方言。表示疑问或反诘。 嗄xià 1.见"嗄饭"。 2.见"嗄程"。
吖	ā	汉字 · 6画 · 部首口	喊叫天～地。 形容喊叫的声音高声叫～～。 吖ā［吖啶黄］（-dìnghuáng）〈名〉一种注射剂。 ────────────────— 吖yā 1.呼;喊。
阿	ā	汉字 · 7画 · 部首阝	阿〈助〉 (汉语名词词头,盛行于魏晋以后) 加在亲属称呼前面有亲昵的意味 阿姊闻妹来。--《乐府诗集·木兰诗》 府吏得闻之,堂上启阿母。--《玉台新咏·古诗为焦仲卿妻作》。 又如阿爷(又作阿耶”。称父亲);阿翁(称祖父;称父亲;妇女称丈夫之父);阿嫂(对朋友之妻的称呼);阿叔(对丈夫之弟的称呼);阿家(又称阿姑”。妇人称丈夫的母亲);阿爹(称父亲;也尊称长者);阿父(称父亲;也称伯伯、叔叔,或作伯叔自称);阿伯(尊称年长的男子) 加于某些人的姓、名、小名、排行前用作称呼,往往带有一定的感情色彩或尊卑关系 阿女含泪答。--《玉台新咏·古诗为焦仲卿妻作》。 又如阿咸(侄子。晋朝阮籍的侄儿阮咸有才,后来遂用来称侄子);阿连(弟弟。南朝宋谢灵运的族弟惠连很有才,人们随谢灵运称之为阿连);阿杜(原指周盘龙的小妾杜氏,后为妾的别称);阿娇(汉武帝陈皇后的小名;泛指美丽的女子);阿蒙(三国时吴国名将吕蒙);阿瞒(三国曹操的小字) 阿ā ⒈助词。用在称呼前～姨。～哥。～张。 ⒉［阿昌族］我国少数民族之 一。 阿 ē ①凹曲处山～。 ②迎合；偏袒～谀。又见ā。 【阿弥陀佛】梵文的音译。佛经中西方极乐世界的教主。佛教寺庙中常与释迦、药师佛并供。佛教徒以之作为口头念诵的佛号，表示虔诚信仰。又意译作'无量寿佛'、'无量光佛'。 【阿房宫】秦代著名宫殿。遗址在西安市西阿房村。始建于前212年，规模极为宏大，'东西五里，南北千步'，全部工程至秦亡时犹未完成，故未正式命名，时人用其前殿所在地名而称之为阿房宫。秦亡后，被项羽焚毁。 【阿其所好】无原则地迎合别人的爱好。 【阿谀】为迎合别人，说好听的话。 阿ǎ 1.叹词。表示惊讶。 阿à 1.方言。副词。犹言可﹑是否。用在问句中，加强语气。 阿a 1.语气词。用在句首或句中。无义。 2.语气词。用在句末表示肯定﹑嘱咐﹑乞请等语气。 3.语气词◇作"啊"。用在句中稍作停顿，让人注意下面的话。
啊	ā	汉字 · 10画 · 部首口	啊 (形声。从口,阿声。本义叹词) 表示惊叹或赞颂。如啊!多么美丽的夜色;啊!祖国,我为您歌唱 啊á叹词。在句首，〈表〉疑问或反问～，这是什么？～，你想干什么？ 啊ǎ叹词。在句首，〈表〉疑惑～，这东西质量可靠吗？ 啊ɑ助词。 ①在句尾，〈表〉惊奇、赞叹等语气，常因前面字音的不同，而有各种变音。也可用别的字来表示快来～（呀）！你们好～（哇）！大家加油干～（哪）！ ②用于列举事项之后米～、菜～、肉～，丰富极了。 啊à叹词。〈表〉应允、领悟或惊叹～，好吧，照你说的办！～，知道了！～，大鱼上钩了！ 啊ā叹词。在句首，〈表〉赞叹或惊奇～，太好了！～，太阳出来了！ 啊a 1.助词。用在句末表示感叹的语气。 2.助词。用在句末表示肯定﹑辩解﹑催促﹑嘱咐等语气。 3.助词。用在句末表示疑问的语气。 4.助词。用在句中表示停顿。 5.助词。用在列举的事项之后。
锕	ā	汉字 · 12画 · 部首钅	锕 一种放射性的三价金属元素,原子序数89,其化学性质类似于镧,由镤经放射α粒子生成,半衰期为22年,尤见于沥青铀矿中--元素符号ac 锕ā化学元素。符号ac。具有放射性。繁体：録
桛	ā	汉字 · 13画	桛ā 1.日本和字。
裞	ā / shuì	汉字 · 10画 / 汉字 · 12画	裞ā 1.日用汉字。用于地名。裞shuì 1.馈赠死者的衣被。 2.谓向死者馈赠衣被。
騣	ái	汉字 · 17画 · 部首駌	騣 (形声。从马,矣声。本义马行勇壮的样子) 假借为佁”。愚,无知 騣,痴 也。--《广雅》 騣,无知之貌。--《苍颉篇》 内实騣,不晓政事。--《汉书·息夫躬传》。注愚也。” 仆虽騣,亦粗知自爱。--唐·韩愈《答刘秀才论史书》。 又如騣子(愚笨的人);騣冶(娇憨美艳) 呆痴,不明事理 嘉本典虞騣…其容止举动,甚蚩騣,语辄自谓侯身”,时人以为笑。--《三国志·明悼毛皇后传》 违明诰于前修,垂蚩于后代。--《三国志·孙休传注》 痴牛与騣女,不肯勤农桑。--唐·卢仝《月蚀》 騣ái不灵活，傻痴～。 騣sì 1.急走貌。
啀	ái	汉字 · 10画	啀ái 1.犬斗貌。 2.吸饮。 3.借作挨。艰难地度过。 4.借作挨。拖延。
捱	ái	汉字 · 11画 · 部首扌	捱 遭受;忍受 这无情棍棒,教我挨不的。--关汉卿《元曲选·窦娥冤》。 又如挨打;挨批 拖延;磨蹭 你们不替洒家打这夫子,却在背后也慢慢地挨。--《水浒传》 等待 好容易挨到三点半钟。--清·李宝嘉《官场现形记》 困难地度过或走过 只得挨过此岭,且去沙角镇上了任,却来打听。--《清平山堂话本》。 又如挨日子(拖延时日);那时候挨一天算一天;挨了一年又一年 捱 ái （△挨） ①遭受，亲身受到旧社会劳动人民～矶饿受冻.～打，～骂. ②拖延～日子.别～磨了，快走吧。'挨'又āī 捱āi 1.贴近;依靠。 2.挤。 3.依次，轮。
