# ECDICT bc015ed2e24a7abef49fc6dbbb7fe32c1dadaf8b | sha256 1a6947e04785db63613a92e14903cdae7954f7e84860b10e68e5c7cbb3f9c3cf | reverse forms 58153 | relations 71439
a-bombs	a-bomb	s
a-coming	a-come	i
a-coupled	a-couple	p
a-cups	a-cup	s
a-fluttering	a-flutter	i
a-frames	a-frame	s
a-going	a-go	i
a-grades	a-grade	s
a-levelled	a-level	d
a-levels	a-level	s
a-listed	a-list	d
a-particles	a-particle	s
a-raining	a-rain	i
a-sitting	a-sit	i
aaahed	aaah	p
aacs	aac	s
aahed	aah	p
aahhing	aah	i
aahing	aah	i
aahs	aah	s
aams	aam	s
aardvarks	aardvark	s
aats	aat	s
abacos	abaco	s
abacuses	abacuse	s
abalones	abalone	s
abandoned	abandon	d
abandoned	abandon	p
abandoning	abandon	i
abandonments	abandonment	s
abandons	abandon	3
abas	aba	s
abased	abase	d
abased	abase	p
abases	abase	3
abashed	abash	d
abashed	abash	p
abashes	abash	3
abashing	abash	i
abasing	abase	i
abated	abate	d
abated	abate	p
abatements	abatement	s
abates	abate	3
abating	abate	i
abattoirs	abattoir	s
abayas	abaya	s
abbacies	abbacy	s
abbes	abbe	3
abbesses	abbess	s
abbeys	abbey	s
abbing	ab	i
abbots	abbot	s
abbreviated	abbreviate	d
abbreviated	abbreviate	p
abbreviates	abbreviate	3
abbreviating	abbreviate	i
abbreviations	abbreviation	s
abcs	abc	s
abdicated	abdicate	d
abdicated	abdicate	p
abdicates	abdicate	3
abdicates	abdicate	s
abdicating	abdicate	i
abdomens	abdomen	s
abdominals	abdominal	s
abducted	abduct	d
abducted	abduct	p
abductees	abductee	s
abducting	abduct	i
abductions	abduction	s
abductors	abductor	s
abducts	abduct	3
abercrombies	abercromby	s
aberdonians	aberdonian	s
aberrances	aberrance	s
aberrations	aberration	s
abeted	abete	p
abets	abet	3
abetted	abet	d
abetted	abet	p
abetting	abet	i
abettors	abettor	s
abhorred	abhor	d
abhorred	abhor	p
abhorrences	abhorrence	s
abhorring	abhor	i
abhors	abhor	3
abhumans	abhuman	s
abided	abide	d
abided	abide	p
abides	abide	3
abiding	abide	i
abies	aby	3
abies	aby	s
abigails	abigail	s
abilities	ability	s
abinger	abing	r
abjured	abjure	d
abjured	abjure	p
abjures	abjure	3
abjures	abjure	s
abjuring	abjure	i
abkhazians	abkhazian	s
ablated	ablate	d
ablated	ablate	p
ablates	ablate	3
ablates	ablate	s
ablating	ablate	i
ablations	ablation	s
abler	abl	r
ablest	abl	t
ablutions	ablution	s
abnegated	abnegate	d
abnegated	abnegate	p
abnegates	abnegate	3
abnegating	abnegate	i
abnormalities	abnormality	s
abnormals	abnormal	s
abode	abide	d
abode	abide	p
abodes	abode	s
abolished	abolish	d
