# ECDICT bc015ed2e24a7abef49fc6dbbb7fe32c1dadaf8b | sha256 1a6947e04785db63613a92e14903cdae7954f7e84860b10e68e5c7cbb3f9c3cf | forward lemmas 40308 | forms 71439
a-bomb	s	a-bombs
a-come	i	a-coming
a-couple	p	a-coupled
a-cup	s	a-cups
a-flutter	i	a-fluttering
a-frame	s	a-frames
a-go	i	a-going
a-grade	s	a-grades
a-level	d	a-levelled
a-level	s	a-levels
a-list	d	a-listed
a-particle	s	a-particles
a-rain	i	a-raining
a-sit	i	a-sitting
aaah	p	aaahed
aac	s	aacs
aah	i	aahhing
aah	i	aahing
aah	p	aahed
aah	s	aahs
aam	s	aams
aardvark	s	aardvarks
aat	s	aats
ab	i	abbing
aba	s	abas
abaco	s	abacos
abacuse	s	abacuses
abalone	s	abalones
abandon	3	abandons
abandon	d	abandoned
abandon	i	abandoning
abandon	p	abandoned
abandonment	s	abandonments
abase	3	abases
abase	d	abased
abase	i	abasing
abase	p	abased
abash	3	abashes
abash	d	abashed
abash	i	abashing
abash	p	abashed
abate	3	abates
abate	d	abated
abate	i	abating
abate	p	abated
abatement	s	abatements
abattoir	s	abattoirs
abaya	s	abayas
abbacy	s	abbacies
abbe	3	abbes
abbess	s	abbesses
abbey	s	abbeys
abbot	s	abbots
abbreviate	3	abbreviates
abbreviate	d	abbreviated
abbreviate	i	abbreviating
abbreviate	p	abbreviated
abbreviation	s	abbreviations
abc	s	abcs
abdicate	3	abdicates
abdicate	d	abdicated
abdicate	i	abdicating
abdicate	p	abdicated
abdicate	s	abdicates
abdomen	s	abdomens
abdominal	s	abdominals
abduct	3	abducts
abduct	d	abducted
abduct	i	abducting
abduct	p	abducted
abductee	s	abductees
abduction	s	abductions
abductor	s	abductors
abercromby	s	abercrombies
aberdonian	s	aberdonians
aberrance	s	aberrances
aberration	s	aberrations
abet	3	abets
abet	d	abetted
abet	i	abetting
abet	p	abetted
abete	p	abeted
abettor	s	abettors
abhor	3	abhors
abhor	d	abhorred
abhor	i	abhorring
abhor	p	abhorred
abhorrence	s	abhorrences
abhuman	s	abhumans
abide	3	abides
abide	d	abided
abide	d	abode
abide	i	abiding
abide	p	abided
abide	p	abode
abigail	s	abigails
ability	s	abilities
abing	r	abinger
abjure	3	abjures
abjure	d	abjured
abjure	i	abjuring
abjure	p	abjured
abjure	s	abjures
abkhazian	s	abkhazians
abl	r	abler
abl	t	ablest
ablate	3	ablates
ablate	d	ablated
ablate	i	ablating
ablate	p	ablated
ablate	s	ablates
ablation	s	ablations
ablution	s	ablutions
abnegate	3	abnegates
abnegate	d	abnegated
abnegate	i	abnegating
abnegate	p	abnegated
abnormal	s	abnormals
abnormality	s	abnormalities
abo	s	abos
abode	s	abodes
abolish	3	abolishes
abolish	d	abolished
abolish	i	abolishing
abolish	p	abolished
abolitionist	s	abolitionists
abominate	3	abominates
abominate	d	abominated
abominate	i	abominating
abominate	p	abominated
abomination	s	abominations
aboriginal	s	aboriginals
aborigine	s	aborigines
abort	3	aborts
abort	d	aborted
abort	i	aborting
abort	p	aborted
abortifacient	s	abortifacients
abortion	s	abortions
abortionist	s	abortionists
abound	3	abounds
abound	d	abounded
abound	i	abounding
abound	p	abounded
about-face	s	about-faces
about-turn	s	about-turns
abrade	3	abrades
abrade	d	abraded
abrade	i	abrading
abrade	p	abraded
abram	3	abrams
abram	s	abrams
abrash	3	abrashes
abrash	s	abrashes
abrasion	s	abrasions
abrasive	s	abrasives
abreact	3	abreacts
abreact	d	abreacted
abreact	i	abreacting
