# UniMorph eng 66e0e9e8e2dcd196da081a25a48e5c1fe3d8b49b | sha256 743fff8ddb3ff26ae413af1fa859806106ffff69628be4cb7ed4d34f677deed2 | pack bnc | entries 15503
aback	back	a-	ADV	ADV
abandoned	abandon	-ed	N	ADJ
abandonment	abandon	-ment	N	N
abasement	abase	-ment	V	N
abashed	abash	-ed	V	ADJ
abatement	abate	-ment	V	N
abbreviated	abbreviate	-ed	V	ADJ
abbreviation	abbreviate	-ion	V	N
abdication	abdicate	-ion	V	N
abdominal	abdomen	-al	N	ADJ
abduct	abduce	-t	V	V
abduction	abduct	-ion	V	N
abduction	duction	ab-	N	N
abductor	abduct	-or	V	N
abe	be	a-	V	V
abed	bed	a-	N	ADV
aberdeenshire	aberdeen	-shire	N	ADJ
aberrant	aberr	-ant	V	ADJ
aberration	aberrate	-ion	V	N
abhorrence	abhor	-ence	V	N
abhorrence	abhorrent	-ence	ADJ	N
abhorrent	abhor	-ent	V	ADJ
abide	bide	a-	V	V
abiding	abide	-ing	N	ADJ
abiding	abide	-ing	N	N
abie	abe	-ie	N	N
abjectly	abject	-ly	ADJ	ADV
abkhazia	abkhaz	-ia	N	N
ablation	ablate	-ion	V	N
ablaze	blaze	a-	N	ADJ
ably	able	-ly	ADJ	U
abnormal	normal	ab-	ADJ	ADJ
abnormality	abnormal	-ity	ADJ	N
abnormally	abnormal	-ly	ADJ	ADV
aboard	board	a-	N	ADV
aboard	board	a-	N	N
abode	bode	a-	V	N
abolition	abolish	-tion	V	N
abolitionist	abolition	-ist	N	ADJ
abolitionist	abolition	-ist	N	N
abominably	abominable	-ly	ADJ	ADV
abominably	abominable	-ly	ADJ	U
abomination	abominate	-ion	V	N
aboriginal	aborigine	-al	N	ADJ
aborted	abort	-ed	N	ADJ
abortive	abort	-ive	N	ADJ
abrasion	abrade	-ion	V	N
abrasive	abrase	-ive	ADJ	ADJ
abrasive	abrasion	-ive	N	ADJ
abrasively	abrasive	-ly	N	ADV
abreast	breast	a-	N	ADV
abreast	breast	a-	N	ADJ
abridged	abridge	-ed	V	ADJ
abridgement	abridge	-ment	V	N
abrogation	abrogate	-ion	V	N
abruptly	abrupt	-ly	ADJ	ADV
abruptness	abrupt	-ness	ADJ	N
absentee	absent	-ee	ADJ	N
absenteeism	absentee	-ism	N	N
absently	absent	-ly	ADJ	ADV
absolution	absolute	-ion	ADJ	N
absolutism	absolute	-ism	ADJ	N
absolutist	absolute	-ist	ADJ	N
absorbance	absorb	-ance	V	N
absorbed	absorb	-ed	V	ADJ
absorbency	absorbance	-y	N	N
absorbency	absorbent	-cy	V	N
absorbency	absorb	-ency	V	N
absorbent	absorb	-ent	V	N
absorber	absorb	-er	V	N
absorbing	absorb	-ing	V	ADJ
absorptive	absorption	-ive	N	ADJ
abstainer	abstain	-er	V	N
abstinence	abstain	-ence	V	N
abstracted	abstract	-ed	N	ADJ
abstractedly	abstracted	-ly	ADJ	ADV
abstraction	abstract	-ion	N	N
abstractly	abstract	-ly	V	ADV
absurdist	absurd	-ist	ADJ	N
absurdity	absurd	-ity	ADJ	N
absurdly	absurd	-ly	ADJ	ADV
abundance	abundant	-ce	ADJ	N
abundantly	abundant	-ly	ADJ	ADV
abuser	abuse	-er	N	N
abusive	abuse	-ive	N	ADJ
abut	butt	a-	N	V
abutment	abut	-ment	V	N
abysmal	abysm	-al	N	ADJ
abysmally	abysmal	-ly	ADJ	ADV
abyssal	abyss	-al	N	ADJ
abyssinian	abyssinia	-n	N	ADJ
abyssinian	abyssinia	-an	N	ADJ
academia	academy	-ia	N	N
academical	academic	-al	ADJ	ADJ
academical	academy	-ical	N	ADJ
academically	academical	-ly	ADJ	ADV
academician	academic	-ian	ADJ	N
acceleration	accelerate	-ion	V	N
accelerator	accelerate	-or	V	N
accentuation	accentuate	-ion	V	N
acceptability	acceptable	-ity	ADJ	N
acceptability	accept	-ability	V	N
acceptably	acceptable	-ly	ADJ	ADV
acceptably	accept	-ably	V	ADV
accepted	accept	-ed	V	V
acceptor	accept	-or	V	N
accessibility	accessible	-ity	ADJ	N
accession	access	-ion	N	N
accessory	access	-ory	N	ADJ
accidental	accident	-al	N	ADJ
accidentally	accidental	-ly	ADJ	ADV
accidently	accident	-ly	N	ADV
acclaimed	acclaim	-ed	N	ADJ
acclamation	acclaim	-tion	N	N
acclimatization	acclimatize	-ation	V	N
acclimatize	acclimate	-ize	V	V
accommodating	accommodate	-ing	V	ADJ
accompaniment	accompany	-ment	V	N
accompanist	accompany	-ist	V	N
accomplished	accomplish	-ed	V	ADJ
accordance	accord	-ance	N	N
accordionist	accordion	-ist	N	N
accountability	accountable	-ity	ADJ	N
accountability	account	-ability	N	N
accountable	account	-able	N	ADJ
accountancy	account	-ancy	N	N
accountancy	accountant	-cy	N	N
accoutrement	accoutre	-ment	V	N
accredit	credit	ac-	N	V
accreditation	accredit	-ation	V	N
accreditation	accredit	-tion	V	N
accredited	accredit	-ed	V	V
accretion	accrete	-ion	V	N
accrual	accrue	-al	N	N
accumulation	accumulate	-ion	V	N
