# UniMorph eng 66e0e9e8e2dcd196da081a25a48e5c1fe3d8b49b | sha256 743fff8ddb3ff26ae413af1fa859806106ffff69628be4cb7ed4d34f677deed2 | pack cet4 | entries 415
abnormal	normal	ab-	ADJ	ADJ
aboard	board	a-	N	ADV
aboard	board	a-	N	N
acceleration	accelerate	-ion	V	N
accessory	access	-ory	N	ADJ
accidental	accident	-al	N	ADJ
accordance	accord	-ance	N	N
accustomed	accustom	-ed	V	ADJ
acquaintance	acquaint	-ance	V	N
adverb	verb	ad-	N	N
advisable	advise	-able	V	ADJ
aloud	loud	a-	ADJ	ADV
aluminium	alumina	-ium	N	N
amaze	maze	a-	N	V
amplify	ample	-ify	ADJ	V
announcer	announce	-er	V	N
appliance	apply	-ance	V	N
arabian	arabia	-n	N	ADJ
arabian	arabia	-an	N	ADJ
arouse	rouse	a-	N	V
ascribe	scribe	a-	N	V
astonish	stun	a-	V	V
atmospheric	atmosphere	-ic	N	ADJ
atomic	atom	-ic	N	ADJ
attentive	attention	-ive	N	ADJ
autobiography	biography	auto-	N	N
automation	automatic	-ion	ADJ	N
automation	automate	-ion	ADJ	N
aviation	aviate	-ion	V	N
awake	wake	a-	N	V
awake	wake	a-	N	ADJ
awfully	awful	-ly	ADJ	ADV
backward	back	-ward	N	ADJ
baggage	bag	-age	N	N
banner	ban	-er	V	N
beggar	beg	-ar	N	N
beginner	begin	-er	V	N
beloved	belove	-ed	V	ADJ
beloved	love	be-	N	ADJ
betray	tray	be-	N	V
bitterly	bitter	-ly	N	ADV
breadth	broad	-th	ADJ	N
brighten	bright	-en	ADJ	V
brittle	brit	-le	U	ADJ
butcher	butch	-er	ADJ	ADJ
calculator	calculate	-or	V	N
careless	care	-less	N	ADJ
cautious	caution	-ous	N	ADJ
cent	c	-ent	V	N
centigrade	grade	centi-	N	ADJ
centimetre	metre	centi-	V	N
charming	charm	-ing	N	ADJ
cheerful	cheer	-ful	N	ADJ
childish	child	-ish	N	ADJ
chill	will	ch-	V	V
civilize	civil	-ize	ADJ	V
clarify	clarity	-fy	N	V
clarify	clarity	-ify	N	V
clumsy	clumse	-y	N	ADJ
communism	communise	-ism	V	N
comparative	compare	-ative	V	ADJ
comparatively	comparative	-ly	ADJ	ADV
conductor	conduct	-or	N	N
congratulation	congratulate	-ion	V	N
congratulation	gratulation	con-	N	N
conjunction	conjunct	-ion	N	N
considerate	consider	-ate	V	ADJ
continual	continue	-al	N	ADJ
convenience	convenient	-ence	ADJ	N
conversely	converse	-ly	N	ADV
correction	correct	-ion	ADJ	N
corresponding	correspond	-ing	V	ADJ
cripple	creep	-le	V	ADJ
cubic	cube	-ic	N	ADJ
cunning	con	-ing	V	ADJ
cunning	con	-ing	V	N
curiosity	curious	-ity	ADJ	N
daring	dare	-ing	V	ADJ
deepen	deep	-en	ADJ	V
depress	press	de-	N	V
destructive	destruct	-ive	V	ADJ
detection	detect	-ion	V	N
dictation	dictate	-ion	N	N
disable	able	dis-	N	V
disappoint	appoint	dis-	V	V
disapprove	approve	dis-	V	V
discard	card	dis-	N	V
dislike	like	dis-	ADJ	N
displease	please	dis-	V	V
dissatisfy	satisfy	dis-	V	V
doubtful	doubt	-ful	N	ADJ
doubtless	doubt	-less	N	ADJ
doubtless	doubt	-less	N	ADV
