# UniMorph eng 66e0e9e8e2dcd196da081a25a48e5c1fe3d8b49b | sha256 743fff8ddb3ff26ae413af1fa859806106ffff69628be4cb7ed4d34f677deed2 | pack core | entries 1688
ability	able	-ity	N	N
abortion	abort	-ion	N	N
abroad	broad	a-	ADJ	ADV
abroad	broad	a-	ADJ	N
absence	absent	-ence	ADJ	N
absolutely	absolute	-ly	ADJ	ADV
abuse	use	ab-	V	N
academic	academy	-ic	N	ADJ
acceptable	accept	-able	V	ADJ
acceptance	accept	-ance	V	N
accessible	access	-ible	N	ADJ
accommodation	accommodate	-ion	V	N
accompany	company	ac-	N	V
accomplishment	accomplish	-ment	V	N
according	accord	-ing	N	V
accordingly	according	-ly	V	ADV
accountant	account	-ant	N	N
accounting	account	-ing	N	V
accuracy	accurate	-cy	ADJ	N
accurately	accurate	-ly	ADJ	ADV
achievement	achieve	-ment	V	N
acknowledge	knowledge	ac-	N	V
acquisition	acquire	-ition	V	N
across	cross	a-	N	U
action	act	-ion	N	N
active	act	-ive	N	ADJ
actively	active	-ly	N	ADV
activist	active	-ist	ADJ	N
activity	active	-ity	N	N
actor	act	-or	N	N
actress	actor	-ess	N	N
actual	act	-ual	N	ADJ
actually	actual	-ly	ADJ	ADV
additional	addition	-al	N	ADJ
adjustment	adjust	-ment	V	N
administration	administrate	-ion	V	N
administrative	administrate	-ive	V	ADJ
adopt	opt	ad-	V	V
adoption	adopt	-ion	ADJ	N
advanced	advance	-ed	N	V
advanced	advance	-ed	N	ADJ
advantage	vantage	ad-	N	N
advertise	advert	-ise	N	V
advertisement	advertise	-ment	V	N
advertising	advertise	-ing	V	N
adviser	advise	-er	V	N
advisory	advise	-ory	V	ADJ
advisory	advisor	-y	N	ADJ
aesthetic	aesthete	-ic	N	N
affection	affect	-ion	N	N
afford	forth	a-	ADJ	V
african	africa	-an	N	ADJ
afternoon	noon	after-	N	N
afterward	after	-ward	ADV	ADV
afterwards	after	-wards	N	ADV
against	again	-st	ADV	U
aged	age	-ed	N	ADJ
agency	agent	-cy	N	N
aggressive	aggress	-ive	N	ADJ
aggressive	aggression	-ive	N	ADJ
ago	gone	a-	V	ADJ
agreement	agree	-ment	N	N
agricultural	agriculture	-al	N	ADJ
ahead	head	a-	N	ADV
aircraft	air	-craft	N	N
airline	air	-ine	N	N
alike	like	a-	ADJ	ADV
alive	live	a-	ADJ	ADJ
allegation	allege	-ation	V	N
alleged	allege	-ed	V	ADJ
alliance	ally	-ance	N	N
allocation	allocate	-ion	V	N
allowance	allow	-ance	V	N
almost	most	al-	N	ADV
alone	one	al-	N	ADJ
alone	lone	a-	ADJ	ADJ
already	ready	al-	ADJ	ADV
alright	right	al-	ADJ	ADJ
alright	right	al-	ADJ	ADV
alteration	alter	-ation	V	N
alternative	alternate	-ive	ADJ	ADJ
alternatively	alternative	-ly	N	ADV
altogether	together	al-	ADV	ADV
amazing	amaze	-ing	V	V
amazing	amaze	-ing	V	ADJ
ambitious	ambition	-ous	N	ADJ
amendment	amend	-ment	V	N
american	america	-n	N	N
american	america	-an	N	N
amid	midamid	a-	U	U
amid	mid	a-	ADJ	ADJ
among	mongamong	a-	U	U
an	a	-an	N	N
analyst	analyse	-t	V	N
andy	android	-y	N	N
angry	anger	-y	N	ADJ
announcement	announce	-ment	V	N
annually	annual	-ly	ADJ	ADV
anonymous	anonym	-ous	N	ADJ
another	other	an-	ADJ	ADJ
antibody	body	anti-	N	N
anxiety	anxious	-ety	ADJ	N
any	one	-y	N	ADV
anyone	any	-one	N	N
apologize	apology	-ize	N	V
apparently	apparent	-ly	ADJ	ADV
appearance	appear	-ance	V	N
application	apply	-ation	V	N
apply	apple	-y	N	ADJ
appointment	appoint	-ment	V	N
appreciation	appreciate	-ion	V	N
approval	approve	-al	V	N
approximately	approximate	-ly	ADJ	ADV
archbishop	bishop	arch-	N	N
architecture	architect	-ure	N	N
argument	argue	-ment	N	N
arise	rise	a-	V	V
armed	arm	-ed	N	ADJ
army	arm	-y	N	N
around	roundaround	a-	U	U
around	round	a-	N	ADJ
arrangement	arrange	-ment	V	N
arrest	rest	ad-	N	N
arrival	arrive	-al	V	N
artificial	artifice	-ial	N	ADJ
artist	art	-ist	N	N
artistic	artist	-ic	N	ADJ
as	a	-s	N	N
asian	asia	-an	N	N
aside	side	a-	ADJ	ADV
aside	side	a-	ADJ	N
asleep	sleep	a-	N	ADJ
assembly	assemble	-y	V	N
assessment	assess	-ment	V	N
assignment	assign	-ment	V	N
assistance	assist	-ance	V	N
assistant	assist	-ant	V	ADJ
association	associate	-ion	ADJ	N
assumption	assume	-ion	V	N
assurance	assure	-ance	V	N
astronomer	astronomy	-er	N	N
athletic	athlete	-ic	N	ADJ
attend	tend	a-	V	V
attend	tend	at-	V	V
attendance	attend	-ance	V	N
attraction	attract	-ion	V	N
attractive	attract	-ive	V	ADJ
auditor	audit	-or	N	N
australian	australia	-an	N	N
automatic	automaton	-ic	N	ADJ
automatically	automatic	-ally	ADJ	ADV
automatically	automatic	-ly	ADJ	ADV
automobile	auto	-mobile	N	N
availability	available	-ity	ADJ	N
available	avail	-able	V	ADJ
await	wait	a-	N	V
aware	ware	a-	ADJ	ADJ
awareness	aware	-ness	ADJ	N
away	way	a-	N	ADV
awful	awe	-ful	N	ADJ
awkward	awk	-ward	U	ADV
awkward	awk	-ward	U	ADJ
baby	babe	-y	N	N
backwards	backward	-s	ADJ	ADJ
backwards	backward	-s	ADJ	ADV
backwards	back	-wards	ADJ	ADJ
backyard	yard	back-	N	N
badly	bad	-ly	N	ADV
baker	bake	-er	V	N
banker	bank	-er	N	N
banking	bank	-ing	N	N
bankruptcy	bankrupt	-cy	ADJ	N
barely	bare	-ly	V	ADV
barrier	bar	-ier	N	N
basement	base	-ment	ADJ	N
basic	base	-ic	N	ADJ
basically	basic	-ally	N	ADV
bastard	bast	-ard	N	N
beautiful	beauty	-ful	N	ADJ
become	come	be-	V	V
beer	be	-er	V	N
beginning	begin	-ing	V	N
beginning	begin	-ing	V	V
behalf	half	be-	ADJ	N
behave	have	be-	V	V
behavior	behave	-ior	V	N
behavioral	behavior	-al	N	ADJ
behind	hind	be-	ADJ	U
being	be	-ing	N	N
belong	long	be-	V	V
below	low	be-	ADJ	U
ben	in	be-	V	N
beneath	neath	be-	ADV	ADV
bernard	bear	-ard	N	N
beside	side	be-	N	U
besides	beside	-s	U	U
between	twain	be-	ADJ	U
billy	bill	-y	N	N
biological	biology	-ical	N	ADJ
birth	bear	-th	N	N
bitter	bite	-er	V	ADJ
bitter	bit	-er	N	N
bloody	blood	-y	ADJ	ADJ
body	bode	-y	V	N
bombing	bomb	-ing	N	N
boring	bore	-ing	N	N
bound	boun	-d	V	V
boundary	bound	-ary	ADJ	N
breeding	breed	-ing	V	N
breeding	breed	-ing	V	ADJ
briefly	brief	-ly	N	ADV
british	britain	-ish	N	ADJ
british	brit	-ish	N	ADJ
broadcasting	broadcast	-ing	N	ADJ
broadly	broad	-ly	ADJ	ADV
broken	broke	-n	ADJ	V
broker	broke	-er	V	ADJ
broker	brook	-er	V	N
bucket	bouk	-et	N	N
buddy	bud	-y	N	ADJ
buddy	bud	-y	N	N
builder	build	-er	N	N
building	build	-ing	N	N
bullet	bull	-let	U	N
bureaucracy	bureau	-cracy	N	N
bureaucracy	bureaucrat	-cy	N	N
burning	burn	-ing	N	ADJ
business	busy	-ness	ADJ	N
businessman	business	-man	N	N
but	out	be-	N	ADJ
butter	butt	-er	N	N
buyer	buy	-er	V	N
cabinet	cabin	-et	N	N
calculate	calculus	-ate	N	V
calculation	calculate	-ion	V	N
caller	call	-er	N	N
canadian	canada	-ian	N	ADJ
capability	capable	-ity	ADJ	N
capitalism	capital	-ism	ADJ	N
capitalist	capital	-ist	ADJ	ADJ
carbohydrate	hydrate	carbo-	N	N
careful	care	-ful	N	ADJ
carefully	careful	-ly	ADJ	ADV
carer	care	-er	N	N
carrier	carry	-er	N	N
casualty	casual	-ty	ADJ	N
cater	cate	-er	N	V
ceiling	ceil	-ing	V	N
celebration	celebrate	-ion	V	N
central	centre	-al	N	ADJ
certainly	certain	-ly	ADJ	ADV
certainty	certain	-ty	ADJ	N
chairman	chair	-man	N	N
championship	champion	-ship	N	N
changing	change	-ing	N	ADJ
characteristic	character	-istic	N	ADJ
characterize	character	-ize	N	V
charter	chart	-er	N	N
chemical	chemic	-al	ADJ	ADJ
chemistry	chemist	-ry	N	N
chicken	cock	-en	N	N
chicken	chick	-en	N	N
chicken	chick	-en	N	V
childhood	child	-hood	N	N
chinese	china	-ese	N	N
cholesterol	cholesteric	-ol	ADJ	N
christian	christ	-ian	N	ADJ
christianity	christian	-ity	N	N
christmas	christ	-mas	N	N
cigarette	cigar	-ette	N	N
circulation	circulate	-ion	V	N
civilian	civil	-ian	ADJ	N
civilization	civilize	-ation	V	N
classic	class	-ic	N	ADJ
classical	class	-ical	N	ADJ
classical	classic	-al	ADJ	ADJ
classification	class	-ification	ADJ	N
classify	class	-ify	ADJ	V
clearly	clear	-ly	ADJ	ADV
clinical	clinic	-al	N	ADJ
closed	close	-ed	ADJ	ADJ
closely	close	-ly	ADJ	ADV
closer	close	-er	ADJ	N
clothes	cloth	-es	N	N
clothing	clothe	-ing	V	V
clothing	clothe	-ing	V	N
coastal	coast	-al	N	ADJ
cocaine	coca	-ine	N	N
cognitive	cognition	-ive	N	ADJ
collaboration	collaborate	-ion	V	N
collection	collect	-ion	N	N
collective	collect	-ive	N	ADJ
collector	collect	-or	N	N
colonial	colony	-al	N	ADJ
colorful	color	-ful	N	ADJ
coloured	colour	-ed	N	ADJ
columnist	column	-ist	N	N
combination	combine	-ation	N	N
combined	combine	-ed	N	ADJ
comfortable	comfort	-able	N	ADJ
commander	command	-er	N	N
commercial	commerce	-ial	N	N
commissioner	commission	-er	N	N
commitment	commit	-ment	N	N
committee	commit	-ee	V	N
commonly	common	-ly	ADJ	ADV
commons	common	-s	ADJ	N
commonwealth	commonweal	-th	N	N
communication	communicate	-ion	V	N
communist	commune	-ist	N	ADJ
communist	communism	-ist	N	ADJ
community	commune	-ity	N	N
comparable	compare	-able	V	ADJ
compensation	compensate	-ion	V	N
competence	competent	-ence	ADJ	N
competitive	compete	-ive	V	ADJ
competitive	competition	-ive	N	ADJ
competitor	competition	-or	N	N
complaint	complain	-t	V	N
completely	complete	-ly	ADJ	ADV
completion	complete	-ion	ADJ	N
complexity	complex	-ity	N	N
complicated	complicate	-ed	V	ADJ
composer	compose	-er	V	N
composition	composite	-ion	ADJ	N
comprehensive	comprehend	-ive	V	ADJ
comprehensive	comprehension	-ive	N	ADJ
compulsory	compulsion	-ory	N	ADJ
computer	compute	-er	V	N
computer	compute	-er	V	ADJ
computing	compute	-ing	V	N
concentration	concentrate	-ion	ADJ	N
conception	concept	-ion	N	N
concerned	concern	-ed	N	ADJ
concerning	concern	-ing	N	ADJ
conclusion	conclude	-ion	V	N
conference	confer	-ence	V	N
confidence	confide	-ence	V	N
confidence	confident	-ence	ADJ	N
confirm	firm	con-	N	V
confront	front	con-	N	V
confrontation	confront	-ation	V	N
confused	confuse	-ed	ADJ	V
confusion	confuse	-ion	ADJ	N
congressional	congression	-al	N	ADJ
congressional	congress	-al	N	ADJ
connection	connect	-ion	V	N
consciousness	conscious	-ness	ADJ	N
consequence	sequence	con-	N	N
consequence	consequent	-ence	ADJ	N
consequently	consequent	-ly	ADJ	ADV
conservation	conserve	-ation	N	N
conservative	conserve	-ative	N	N
considerable	consider	-able	V	ADJ
considerably	considerable	-ly	ADJ	ADV
consideration	consider	-ation	V	N
consistent	consist	-ent	N	ADJ
consistently	consistent	-ly	ADJ	ADV
conspiracy	conspire	-cy	V	N
constantly	constant	-ly	ADJ	ADV
constituency	constituent	-ency	ADJ	N
constituency	constituent	-cy	ADJ	N
constitution	constitute	-ion	V	N
constitutional	constitution	-al	N	ADJ
constraint	constrain	-t	V	N
construction	construct	-ion	N	N
consultant	consult	-ant	N	N
consultation	consult	-ation	N	N
consumer	consume	-er	V	N
consumption	consume	-ion	V	N
container	contain	-er	V	N
continental	continent	-al	ADJ	ADJ
continental	continent	-al	N	ADJ
continued	continue	-ed	V	ADJ
continuous	continue	-ous	N	ADJ
contractor	contract	-or	N	N
contradiction	contradict	-ion	V	N
contribution	contribute	-ion	V	N
controversial	controversy	-al	N	ADJ
convention	convene	-ion	V	N
convention	convene	-tion	V	N
conventional	convention	-al	N	ADJ
conversation	converse	-ation	N	N
conversion	converse	-ion	V	N
conviction	convict	-ion	V	N
convinced	convince	-ed	V	ADJ
cookie	cook	-ie	N	N
cooking	cook	-ing	N	N
cooperation	cooperate	-ion	V	N
cooperative	cooperate	-ive	V	ADJ
coordinator	coordinate	-or	N	N
copper	cop	-er	N	N
corporation	corporate	-ion	ADJ	N
correctly	correct	-ly	ADJ	ADV
correlation	correlate	-ion	V	N
correspondence	correspond	-ence	V	N
correspondent	correspond	-ent	V	N
corruption	corrupt	-ion	ADJ	N
costly	cost	-ly	N	ADJ
councillor	council	-or	N	N
counseling	counsel	-ing	N	N
counselor	counsel	-or	N	N
counterpart	part	counter-	N	N
countryside	country	-side	N	N
county	count	-y	N	N
coverage	cover	-age	N	N
crazy	craze	-y	N	ADJ
creation	create	-ion	V	N
creative	create	-ive	V	ADJ
creativity	creative	-ity	ADJ	N
creature	create	-ure	V	N
credibility	credible	-ity	ADJ	N
creditor	credit	-or	N	N
criminal	crime	-al	N	ADJ
critical	critic	-al	N	ADJ
criticism	critic	-ism	N	N
criticize	critic	-ize	N	V
cuban	cuba	-an	N	N
cuban	cuba	-an	N	ADJ
cultural	culture	-al	N	ADJ
curious	curium	-ous	N	ADJ
currently	current	-ly	ADJ	ADV
customer	custom	-er	N	N
cutting	cut	-ing	ADJ	N
daddy	dad	-y	N	N
daily	day	-ly	N	ADJ
daily	day	-ly	N	ADV
dancer	dance	-er	N	N
dangerous	danger	-ous	N	ADJ
darkness	dark	-ness	ADJ	N
darling	dear	-ling	ADJ	N
data	datum	-a	N	N
david	dav	-id	N	N
deadly	dead	-ly	ADJ	ADJ
deadly	dead	-ly	ADJ	ADV
dealer	deal	-er	V	N
decision	decide	-ion	V	N
declaration	declare	-ation	V	N
deeply	deep	-ly	ADJ	ADV
defendant	defend	-ant	V	ADJ
defender	defend	-er	V	N
defensive	defense	-ive	N	N
defensive	defend	-ive	V	ADJ
definitely	definite	-ly	ADJ	ADV
definition	define	-tion	V	N
definition	definite	-ion	ADJ	N
delegation	delegate	-ion	N	N
deliberately	deliberate	-ly	ADJ	ADV
delighted	delight	-ed	N	ADJ
delivery	deliver	-y	V	N
democracy	democrat	-cy	N	N
democratic	democrat	-ic	N	ADJ
