# UniMorph eng 66e0e9e8e2dcd196da081a25a48e5c1fe3d8b49b | sha256 743fff8ddb3ff26ae413af1fa859806106ffff69628be4cb7ed4d34f677deed2 | pack gk | entries 346
abnormal	normal	ab-	ADJ	ADJ
aboard	board	a-	N	ADV
aboard	board	a-	N	N
accustomed	accustom	-ed	V	ADJ
acquaintance	acquaint	-ance	V	N
adaptation	adapt	-ation	V	N
addicted	addict	-ed	ADJ	ADJ
admirable	admire	-able	V	ADJ
adolescence	adolescent	-ence	ADJ	N
aggression	aggress	-ion	N	N
alcoholic	alcohol	-ic	N	N
allergic	allergy	-ic	N	ADJ
aloud	loud	a-	ADJ	ADV
aluminium	alumina	-ium	N	N
amaze	maze	a-	N	V
amusement	amuse	-ment	V	N
arabic	arabia	-ic	N	ADJ
astonish	stun	a-	V	V
athletics	athlete	-ics	N	N
athletics	athletic	-s	ADJ	N
attentively	attentive	-ly	ADJ	ADV
autonomous	autonomy	-ous	N	ADJ
awake	wake	a-	N	V
awake	wake	a-	N	ADJ
awesome	awe	-some	N	ADJ
backache	ache	back-	N	N
backward	back	-ward	N	ADJ
baggage	bag	-age	N	N
bakery	bake	-ery	V	N
bakery	baker	-y	N	N
bandage	band	-age	N	N
bent	bend	-t	V	V
betray	tray	be-	N	V
biochemistry	chemistry	bio-	N	N
biochemistry	biochemist	-ry	N	N
boating	boat	-ing	N	N
bored	bore	-ed	N	V
botanical	botany	-ical	N	ADJ
bowling	bowl	-ing	N	N
boxing	box	-ing	N	V
boxing	box	-ing	N	N
bravery	brave	-ry	ADJ	N
breathless	breath	-less	N	ADJ
brewery	brew	-ery	N	N
brotherhood	brother	-hood	N	N
buddhism	buddha	-ism	N	N
buddhist	buddha	-ist	N	ADJ
buddhist	buddhism	-ist	N	ADJ
bureaucratic	bureaucracy	-tic	N	ADJ
bureaucratic	bureaucrat	-ic	N	ADJ
businesswoman	business	-woman	N	N
butcher	butch	-er	ADJ	ADJ
careless	care	-less	N	ADJ
cautious	caution	-ous	N	ADJ
cent	c	-ent	V	N
centigrade	grade	centi-	N	ADJ
centimetre	metre	centi-	V	N
chairwoman	chair	-woman	N	N
challenging	challenge	-ing	N	V
challenging	challenge	-ing	N	ADJ
changeable	change	-able	N	ADJ
cheerful	cheer	-ful	N	ADJ
cheers	cheer	-s	N	V
clarify	clarity	-fy	N	V
clarify	clarity	-ify	N	V
cleaner	clean	-er	ADJ	N
cloudy	cloud	-y	N	ADJ
clumsy	clumse	-y	N	ADJ
coincidence	coincide	-ence	V	N
coincidence	coincident	-ence	ADJ	N
communism	communise	-ism	V	N
conductor	conduct	-or	N	N
congratulation	congratulate	-ion	V	N
congratulation	gratulation	con-	N	N
considerate	consider	-ate	V	ADJ
contradictory	contradict	-ory	V	ADJ
convenience	convenient	-ence	ADJ	N
cooker	cook	-er	N	N
cordless	cord	-less	N	ADJ
correction	correct	-ion	ADJ	N
crossing	cross	-ing	N	N
crossroads	crossroad	-s	N	N
crowded	crowd	-ed	N	ADJ
cubic	cube	-ic	N	ADJ
cyclist	cycle	-ist	N	N
decoration	decorate	-ion	ADJ	N
decoration	decor	-ation	N	N
devotion	devote	-ion	ADJ	N
dictation	dictate	-ion	N	N
dioxide	oxide	di-	N	N
disagreement	agreement	dis-	N	N
