# UniMorph eng 66e0e9e8e2dcd196da081a25a48e5c1fe3d8b49b | sha256 743fff8ddb3ff26ae413af1fa859806106ffff69628be4cb7ed4d34f677deed2 | pack gre | entries 2141
abduct	abduce	-t	V	V
aberrant	aberr	-ant	V	ADJ
aberration	aberrate	-ion	V	N
abhorrent	abhor	-ent	V	ADJ
abide	bide	a-	V	V
abolition	abolish	-tion	V	N
aboriginal	aborigine	-al	N	ADJ
abortive	abort	-ive	N	ADJ
abrasion	abrade	-ion	V	N
abrasive	abrase	-ive	ADJ	ADJ
abrasive	abrasion	-ive	N	ADJ
abreast	breast	a-	N	ADV
abreast	breast	a-	N	ADJ
absenteeism	absentee	-ism	N	N
abstentious	abstention	-ous	N	ADJ
abundance	abundant	-ce	ADJ	N
abusive	abuse	-ive	N	ADJ
abut	butt	a-	N	V
abysmal	abysm	-al	N	ADJ
academician	academic	-ian	ADJ	N
accessory	access	-ory	N	ADJ
acclimate	climate	ac-	N	V
accommodating	accommodate	-ing	V	ADJ
accomplished	accomplish	-ed	V	ADJ
accountability	accountable	-ity	ADJ	N
accountability	account	-ability	N	N
accretion	accrete	-ion	V	N
achromatic	chromatic	a-	ADJ	ADJ
achromatic	achromatism	-ic	N	ADJ
acquaintance	acquaint	-ance	V	N
acquisitive	acquisition	-ive	N	ADJ
acquit	quit	a-	V	V
acquittal	acquit	-al	N	N
acrimonious	acrimony	-ous	N	ADJ
actuarial	actuary	-al	N	ADJ
adaptable	adapt	-able	V	ADJ
addendum	addenda	-um	N	N
additive	addition	-ive	N	ADJ
adhesive	adhesion	-ive	N	ADJ
advisable	advise	-able	V	ADJ
advocacy	advocate	-acy	N	N
advocacy	advocate	-cy	N	N
affectation	affect	-ation	N	N
affected	affect	-ed	N	ADJ
affiliation	affiliate	-tion	N	N
affiliation	affiliate	-ion	N	N
affinity	affine	-ity	ADJ	N
affix	fix	ad-	V	N
affliction	afflict	-ion	V	N
affluence	affluent	-ence	ADJ	N
affordable	afford	-able	V	ADJ
aftermath	math	after-	N	N
agape	gape	a-	N	ADJ
aggression	aggress	-ion	N	N
aggressor	aggression	-or	N	N
aghast	ghast	a-	V	ADJ
agility	agile	-ity	ADJ	N
agitated	agitate	-ed	ADJ	V
agnostic	gnostic	a-	ADJ	ADJ
agreeable	agree	-able	V	ADJ
ailment	ail	-ment	N	N
airborne	air	-borne	N	ADJ
alienate	alien	-ate	ADJ	ADJ
alimentary	aliment	-ary	N	ADJ
allay	lay	a-	V	V
allergic	allergy	-ic	N	ADJ
alluring	allure	-ing	N	V
allusion	allude	-ion	V	N
aloft	loft	a-	N	ADV
alphabetical	alphabetic	-al	ADJ	ADJ
altruistic	altruist	-ic	N	ADJ
aluminium	alumina	-ium	N	N
amass	mass	a-	N	V
amateurish	amateur	-ish	ADJ	ADJ
ambience	ambient	-ence	ADJ	N
ambivalence	valence	ambi-	N	N
ambivalence	ambivalent	-ence	ADJ	N
ambrosial	ambrosia	-al	N	ADJ
ambulatory	ambulate	-ory	V	ADJ
amiss	miss	a-	V	ADJ
amoral	moral	a-	ADJ	ADJ
amplify	ample	-ify	ADJ	V
amplitude	ample	-itude	ADJ	N
anachronistic	anachronism	-ic	N	ADJ
anachronistic	anachronist	-ic	N	ADJ
anachronistic	anachronism	-istic	N	ADJ
analgesia	algesia	an-	N	N
analgesic	analgesia	-ic	N	N
analogous	analogy	-ous	N	ADJ
anarchist	anarchy	-ist	N	N
anatomical	anatomy	-ical	N	ADJ
anemic	anemia	-ic	N	ADJ
angular	angle	-ar	N	ADJ
animated	animate	-ed	ADJ	ADJ
animation	animate	-ion	ADJ	N
annals	annal	-s	N	N
annexation	annex	-ation	N	N
anomalous	anomaly	-ous	N	ADJ
anonymity	anonym	-ity	N	N
anonymity	anonymous	-ity	ADJ	N
antagonism	antagonise	-ism	V	N
antecedence	antecedent	-ence	N	N
antedate	date	ante-	N	V
antediluvian	diluvian	ante-	ADJ	ADJ
anthropologist	anthropology	-ist	N	N
antibiotic	biotic	anti-	ADJ	N
anticipatory	anticipation	-ory	N	ADJ
anticipatory	anticipate	-ory	V	ADJ
anticlimax	climax	anti-	N	N
antihistamine	histamine	anti-	N	N
antiquity	antique	-ity	ADJ	N
antiseptic	septic	anti-	ADJ	ADJ
antiseptic	antisepsis	-ic	N	ADJ
antithesis	thesis	anti-	N	N
apocryphal	apocrypha	-al	N	ADJ
appendage	append	-age	V	N
appetizer	appetize	-er	V	N
appetizing	appetite	-ing	N	ADJ
appreciable	appreciate	-able	V	ADJ
apprehensive	apprehend	-ive	V	ADJ
aptitude	apt	-itude	ADJ	N
aristocracy	aristocrat	-cy	N	N
aromatic	aroma	-ic	N	ADJ
arouse	rouse	a-	N	V
arresting	arrest	-ing	V	ADJ
arrogance	arrogant	-ce	ADJ	N
artistry	artist	-ry	N	N
artless	art	-less	N	ADJ
ascendancy	ascend	-ancy	V	N
ascendancy	ascendant	-cy	ADJ	N
ascribe	scribe	a-	N	V
aseptic	septic	a-	ADJ	ADJ
asinine	ass	-ine	N	ADJ
askew	skew	a-	V	ADJ
aspen	asp	-en	N	ADJ
asphyxiate	asphyxia	-ate	V	V
aspirant	aspire	-ant	V	ADJ
aspiration	aspire	-ation	V	N
aspiration	aspirate	-ion	N	N
assertive	assert	-ive	V	ADJ
assertiveness	assertive	-ness	ADJ	N
assorted	assort	-ed	V	ADJ
assured	assure	-ed	V	V
asteroid	aster	-oid	N	N
astigmatic	astigmatism	-ic	N	ADJ
astray	stray	a-	N	N
astronomical	astronomy	-ical	N	ADJ
asunder	sunder	a-	V	V
asymmetric	symmetric	a-	ADJ	ADJ
asymmetric	asymmetry	-ic	N	ADJ
athletics	athlete	-ics	N	N
athletics	athletic	-s	ADJ	N
atonal	tonal	a-	ADJ	ADJ
atrocity	atrocious	-ity	ADJ	N
attainment	attain	-ment	V	N
attune	tune	ad-	N	V
attune	tune	at-	N	V
auditorium	auditory	-ium	ADJ	N
auditorium	audit	-orium	N	N
augmentation	augment	-ation	N	N
augury	augur	-y	N	N
auspicious	auspice	-ious	N	ADJ
austerity	austere	-ity	ADJ	N
authenticity	authentic	-ity	ADJ	N
authoritarian	authority	-arian	N	ADJ
authorization	authorize	-ation	V	N
autobiography	biography	auto-	N	N
automation	automatic	-ion	ADJ	N
automation	automate	-ion	ADJ	N
autonomous	autonomy	-ous	N	ADJ
avaricious	avarice	-ious	N	ADJ
aversion	averse	-ion	ADJ	N
avow	vow	a-	N	V
avowal	avow	-al	V	N
awry	wry	a-	ADJ	ADV
awry	wry	a-	ADJ	ADJ
backwater	water	back-	N	N
badger	badge	-er	N	N
