# UniMorph eng 66e0e9e8e2dcd196da081a25a48e5c1fe3d8b49b | sha256 743fff8ddb3ff26ae413af1fa859806106ffff69628be4cb7ed4d34f677deed2 | pack ielts | entries 745
abbreviation	abbreviate	-ion	V	N
abnormal	normal	ab-	ADJ	ADJ
aboriginal	aborigine	-al	N	ADJ
abrasion	abrade	-ion	V	N
abundance	abundant	-ce	ADJ	N
accessory	access	-ory	N	ADJ
accuser	accuse	-er	V	N
activate	active	-ate	ADJ	V
adolescence	adolescent	-ence	ADJ	N
affix	fix	ad-	V	N
agitation	agitate	-tion	ADJ	N
agitation	agitate	-ion	ADJ	N
agreeable	agree	-able	V	ADJ
alienate	alien	-ate	ADJ	ADJ
allergic	allergy	-ic	N	ADJ
alphabetical	alphabetic	-al	ADJ	ADJ
amaze	maze	a-	N	V
ambiguity	ambiguous	-ity	ADJ	N
amplify	ample	-ify	ADJ	V
analytical	analytic	-al	ADJ	ADJ
antagonism	antagonise	-ism	V	N
antibiotic	biotic	anti-	ADJ	N
anticipation	anticipate	-ion	V	N
apologetic	apology	-ic	N	ADJ
apologetic	apology	-etic	N	ADJ
appliance	apply	-ance	V	N
applied	apply	-ed	V	ADJ
appraisal	appraise	-al	V	N
appreciable	appreciate	-able	V	ADJ
aptitude	apt	-itude	ADJ	N
archaeological	archaeology	-ical	N	ADJ
arouse	rouse	a-	N	V
ascribe	scribe	a-	N	V
aspiration	aspire	-ation	V	N
aspiration	aspirate	-ion	N	N
assassination	assassinate	-ion	V	N
assorted	assort	-ed	V	ADJ
atmospheric	atmosphere	-ic	N	ADJ
attendant	attend	-ant	V	ADJ
attentive	attention	-ive	N	ADJ
audition	audit	-ion	N	N
auditorium	auditory	-ium	ADJ	N
auditorium	audit	-orium	N	N
authoritative	authority	-ative	N	ADJ
automation	automatic	-ion	ADJ	N
automation	automate	-ion	ADJ	N
aviation	aviate	-ion	V	N
backward	back	-ward	N	ADJ
baggage	bag	-age	N	N
baldness	bald	-ness	ADJ	N
bandage	band	-age	N	N
bands	band	-s	N	N
banner	ban	-er	V	N
batter	bat	-er	N	N
batter	batting	-er	N	N
bearing	bear	-ing	N	V
bearing	bear	-ing	N	N
beloved	belove	-ed	V	ADJ
beloved	love	be-	N	ADJ
bent	bend	-t	V	V
berth	bear	-th	N	N
beset	set	be-	ADJ	V
betray	tray	be-	N	V
bewilder	intensifier	be-	N	V
bewilder	wilder	be-	V	V
bilateral	lateral	bi-	ADJ	ADJ
bilingual	lingual	bi-	ADJ	ADJ
blunder	blend	-er	N	N
booking	book	-ing	N	N
bookkeeper	bookkeeping	-er	N	N
booklet	book	-let	N	N
bowling	bowl	-ing	N	N
brittle	brit	-le	U	ADJ
brothers	brother	-s	N	N
brutal	brute	-al	N	ADJ
buckle	buck	-le	N	V
bulletin	bullet	-in	N	N
bully	bull	-y	N	N
bumper	bump	-er	N	N
buoyant	buoy	-ant	N	ADJ
butcher	butch	-er	ADJ	ADJ
bypass	pass	by-	N	N
carving	carve	-ing	N	N
cashier	cash	-ier	N	N
catalyst	catalyse	-t	V	N
catching	catch	-ing	N	N
catering	cater	-ing	V	N
cautious	caution	-ous	N	ADJ
challenging	challenge	-ing	N	V
challenging	challenge	-ing	N	ADJ
cheerful	cheer	-ful	N	ADJ
children	child	-ren	N	N
chill	will	ch-	V	V
chronological	chronology	-ical	N	ADJ
clarify	clarity	-fy	N	V
clarify	clarity	-ify	N	V
cleaner	clean	-er	ADJ	N
cleaning	clean	-ing	ADJ	V
clearance	clear	-ance	ADJ	N
clockwise	clock	-wise	N	ADV
clockwise	clock	-wise	N	ADJ
clubs	club	-s	N	N
clumsy	clumse	-y	N	ADJ
co-operation	co-operate	-ion	V	N
coeducation	education	co-	N	N
coincidence	coincide	-ence	V	N
coincidence	coincident	-ence	ADJ	N
combustible	combust	-ible	V	ADJ
commentary	comment	-ary	N	N
commuter	commute	-er	V	N
compliance	comply	-ance	V	N
complication	complicate	-ion	V	N
condolence	condole	-ence	V	N
conducive	conduce	-ive	V	ADJ
configuration	configure	-ation	V	N
confirmation	confirm	-ation	V	N
congestion	congest	-tion	V	N
congestion	congest	-ion	V	N
conjunction	conjunct	-ion	N	N
conqueror	conquer	-or	V	N
consequent	sequent	con-	ADJ	ADJ
conservatory	conserve	-atory	V	ADJ
considerate	consider	-ate	V	ADJ
contents	content	-s	ADJ	N
contingency	contingent	-cy	N	N
continuity	continuous	-ity	ADJ	N
convenience	convenient	-ence	ADJ	N
converge	verge	con-	V	V
conversely	converse	-ly	N	ADV
corresponding	correspond	-ing	V	ADJ
cosmic	cosmos	-ic	N	ADJ
cosmopolitan	cosmopolite	-an	N	ADJ
counterbalance	balance	counter-	N	N
cripple	creep	-le	V	ADJ
crooked	crook	-ed	N	V
crooked	crook	-ed	N	ADJ
crumble	crumb	-le	N	V
crumple	crump	-le	N	N
cultivation	cultivate	-ion	V	N
cumbersome	cumber	-some	V	ADJ
cumulative	cumulate	-ive	V	ADJ
cunning	con	-ing	V	ADJ
cunning	con	-ing	V	N
curly	curl	-y	N	ADJ
custodian	custody	-ian	N	N
customary	custom	-ary	N	N
cycling	cycle	-ing	N	V
cynical	cynic	-al	N	ADJ
damages	damage	-s	N	N
dazzle	daze	-le	V	V
deadlock	dead	-lock	ADJ	N
dearth	dear	-th	ADJ	N
decipher	cipher	de-	N	V
decompose	compose	de-	V	V
decoration	decorate	-ion	ADJ	N
decoration	decor	-ation	N	N
dedicated	dedicate	-ed	V	ADJ
dedication	dedicate	-ion	V	N
defiance	defiant	-ce	ADJ	N
deficiency	deficit	-ency	N	N
deficiency	deficient	-cy	ADJ	N
defile	file	de-	N	V
definitive	definition	-ive	N	ADJ
deflate	inflate	de-	V	V
defraud	fraud	de-	N	V
delinquency	delinquent	-cy	ADJ	N
denial	deny	-al	N	N
departmental	department	-al	N	ADJ
depletion	deplete	-ion	V	N
depress	press	de-	N	V
destiny	destine	-y	V	N
destructive	destruct	-ive	V	ADJ
detrimental	detriment	-al	N	ADJ
devastating	devastation	-ing	N	ADJ
dictation	dictate	-ion	N	N
differentiate	differential	-ate	ADJ	V
dilapidated	dilapidate	-ed	V	ADJ
dingy	dung	-y	N	ADJ
dioxide	oxide	di-	N	N
disable	able	dis-	N	V
disagreement	agreement	dis-	N	N
disagreement	disagree	-ment	V	N
disarray	array	dis-	N	V
discard	card	dis-	N	V
discriminate	criminate	dis-	V	V
disposition	dispose	-ition	V	N
disposition	dispose	-tion	V	N
disregard	regard	dis-	N	N
disregard	regard	dis-	N	V
distraction	distract	-ion	V	N
diversion	diverse	-ion	ADJ	N
dormant	dorm	-ant	N	ADJ
doubtful	doubt	-ful	N	ADJ
doubtless	doubt	-less	N	ADJ
doubtless	doubt	-less	N	ADV
downpour	pour	down-	V	N
drainage	drain	-age	N	N
dreadful	dread	-ful	N	ADJ
dreary	drear	-y	ADJ	ADJ
dressing	dress	-ing	N	N
dressing	dress	-ing	N	V
drop-off	drop	-off	V	N
drowsiness	drowsy	-ness	ADJ	N
drudgery	drudge	-ery	N	N
drudgery	drudge	-ry	N	N
duly	due	-ly	ADJ	ADV
dwindle	dwine	-le	V	V
economical	economic	-al	ADJ	ADJ
eddy	ea	ed-	N	N
editorial	editor	-ial	N	ADJ
egyptian	egypt	-ian	N	ADJ
elated	elate	-ed	ADJ	ADJ
electrician	electric	-ian	ADJ	N
email	mail	e-	N	N
embed	bed	en-	N	V
embed	bed	em-	N	V
embody	body	em-	N	V
emigrate	emigre	-ate	N	V
enclosure	enclose	-ure	V	N
ending	end	-ing	N	N
ending	end	-ing	N	V
endurance	endure	-ance	V	N
energetic	energy	-etic	N	ADJ
engrave	grave	en-	N	V
enlighten	light	-en	ADJ	V
enrich	rich	en-	N	V
enrollment	enroll	-ment	V	N
enrolment	enrol	-ment	V	N
entail	tail	en-	N	V
entangle	tangle	en-	V	V
epidemic	demic	epi-	ADJ	N
equator	equation	-or	N	N
exacerbate	acerbate	ex-	V	V
exceedingly	exceeding	-ly	V	ADV
existent	exist	-ent	V	ADJ
expectancy	expectant	-cy	ADJ	N
explosive	explosion	-ive	N	ADJ
exposition	expose	-ition	V	N
exposition	expose	-tion	V	N
exterminate	terminate	ex-	V	V
fabulous	fable	-ous	N	ADJ
fallible	fall	-ible	N	ADJ
fatuous	fatuity	-ous	N	ADJ
fellowship	fellow	-ship	N	N
feud	foe	-d	ADJ	U
fickle	fike	-le	V	ADJ
filth	foul	-th	ADJ	N
fitting	fit	-ing	ADJ	V
fixture	fix	-ture	N	N
flabby	flap	-y	N	ADJ
flatter	flat	-er	V	ADJ
flatter	flat	-er	V	N
fleeting	fleet	-ing	N	ADJ
flicker	flick	-er	N	N
flourishment	flourish	-ment	V	N
flutter	float	-er	V	V
folder	fold	-er	V	N
foremost	fore	-most	N	ADJ
forerunner	runner	fore-	N	N
foresee	see	fore-	N	V
forestry	forest	-ry	N	N
fortify	fort	-ify	N	V
fragrance	fragrant	-ce	ADJ	N
freight	aught	for-	N	N
fret	eat	for-	V	V
fruition	fruit	-ion	N	N
furious	fury	-ous	N	ADJ
fusion	fuse	-ion	N	N
gaily	gay	-ly	N	ADV
gamble	game	-le	N	N
gaudy	gaud	-y	N	ADJ
generalize	general	-ize	ADJ	V
geographic	geography	-ic	N	ADJ
geometry	geometer	-y	N	N
ghastly	ghast	-ly	V	ADJ
glimmer	glim	-er	N	N
gloomy	gloom	-y	N	ADJ
glorious	glory	-ous	N	ADJ
glossary	gloss	-ary	N	N
gracious	grace	-ious	N	ADJ
granary	grain	-ary	N	N
granular	granule	-ar	N	ADJ
greedy	greed	-y	N	ADJ
handy	hand	-y	N	ADJ
handy	hand	-y	N	N
harassment	harass	-ment	V	N
hardy	hard	-y	ADV	ADJ
harmful	harm	-ful	N	ADJ
hasty	haste	-y	N	ADJ
hazardous	hazard	-ous	N	ADJ
heater	heat	-er	N	N
heighten	height	-en	N	V
helpline	help	-ine	N	N
hemisphere	sphere	hemi-	N	N
hereditary	heredity	-ary	N	ADJ
heroine	hero	-ine	N	N
higher	high	-er	ADJ	N
homework	home	-work	N	N
hospitality	hospital	-ity	N	N
hover	hove	-er	V	V
huddle	hide	-le	V	N
humble	hum	-le	N	V
humidity	humid	-ity	ADJ	N
hysterical	hysteric	-al	N	ADJ
ignorance	ignore	-ance	V	N
illiterate	literate	il-	ADJ	ADJ
imaginative	imagination	-ive	N	ADJ
imitation	imitate	-ion	V	N
imposing	impose	-ing	V	V
inability	ability	in-	N	N
inaccurate	accurate	in-	ADJ	ADJ
inapt	apt	in-	ADJ	ADJ
incidentally	incidental	-ly	ADJ	ADV
inclination	incline	-ation	V	N
incoming	income	-ing	N	ADJ
increment	increase	-ment	V	N
indefinite	definite	in-	ADJ	ADJ
indemnity	indemn	-ity	ADJ	N
indicative	indicate	-ive	V	ADJ
indifferent	different	in-	ADJ	ADJ
indispensable	dispensable	in-	ADJ	ADJ
infectious	infect	-ious	ADJ	ADJ
infectious	infection	-ous	N	ADJ
inference	infer	-ence	V	N
infinite	finite	in-	ADJ	ADJ
infirmary	infirm	-ary	ADJ	N
informative	inform	-ative	V	ADJ
injection	inject	-ion	V	N
inland	land	in-	N	ADJ
innumerable	numerable	in-	ADJ	ADJ
insane	sane	in-	ADJ	ADJ
insolvent	solvent	in-	ADJ	ADJ
instrumental	instrument	-al	N	ADJ
insure	sure	in-	ADJ	V
integral	integer	-al	N	ADJ
intensify	intense	-ify	ADJ	V
intersection	intersect	-ion	V	N
interviewee	interview	-ee	N	N
interviewer	interview	-er	N	N
invalid	valid	in-	ADJ	ADJ
invalid	valid	in-	ADJ	V
invaluable	valuable	in-	ADJ	ADJ
irregular	regular	ir-	ADJ	ADJ
irrespective	respective	ir-	ADJ	ADJ
irrigation	irrigate	-ion	V	N
irritable	irritate	-able	V	ADJ
jumble	jump	-le	V	V
kidnap	kid	-nap	N	V
laborious	labor	-ious	V	ADJ
latest	late	-est	ADJ	ADJ
laudable	laud	-able	N	ADJ
layman	lay	-man	ADJ	N
lender	lend	-er	N	N
lever	lief	-er	ADJ	N
lights	light	-s	V	N
likelihood	likely	-hood	ADJ	N
likewise	like	-wise	ADJ	ADV
linen	line	-en	N	N
liner	line	-er	N	N
linguistics	linguist	-ics	N	N
literacy	literate	-cy	ADJ	N
locality	local	-ity	ADJ	N
locker	lock	-er	N	N
lodging	lodge	-ing	V	N
lofty	loft	-y	N	ADJ
longitude	long	-itude	ADJ	N
lucrative	lucre	-ative	N	ADJ
madden	mad	-en	N	V
maiden	maid	-en	N	N
mails	mail	-s	N	V
majestic	majesty	-ic	N	ADJ
malaysia	malaya	-ia	N	N
malignant	malign	-ant	ADJ	ADJ
malnutrition	nutrition	mal-	N	N
maltreat	treat	mal-	V	V
mammal	mamma	-al	N	N
mandatory	mandate	-ory	N	ADJ
maniac	mania	-ac	N	N
manifold	many	-fold	U	ADJ
manifold	many	-fold	U	V
mannerism	manner	-ism	N	N
marvelous	marvel	-ous	N	ADJ
melodious	melody	-ous	N	ADJ
memorise	memory	-ise	N	V
mentality	mental	-ity	ADJ	N
metabolism	metabolic	-ism	ADJ	N
