# UniMorph eng 66e0e9e8e2dcd196da081a25a48e5c1fe3d8b49b | sha256 743fff8ddb3ff26ae413af1fa859806106ffff69628be4cb7ed4d34f677deed2 | pack ky | entries 560
abide	bide	a-	V	V
abnormal	normal	ab-	ADJ	ADJ
aboard	board	a-	N	ADV
aboard	board	a-	N	N
abundance	abundant	-ce	ADJ	N
accessory	access	-ory	N	ADJ
accidental	accident	-al	N	ADJ
accordance	accord	-ance	N	N
accustomed	accustom	-ed	V	ADJ
acquaintance	acquaint	-ance	V	N
activate	active	-ate	ADJ	V
adverb	verb	ad-	N	N
advisable	advise	-able	V	ADJ
affiliation	affiliate	-tion	N	N
affiliation	affiliate	-ion	N	N
agreeable	agree	-able	V	ADJ
allied	ally	-ed	N	ADJ
allied	allies	-ed	N	ADJ
aloud	loud	a-	ADJ	ADV
amaze	maze	a-	N	V
amplifier	amplify	-er	V	N
amplify	ample	-ify	ADJ	V
analytic	analysis	-ic	N	ADJ
apologise	apology	-ise	N	V
appliance	apply	-ance	V	N
appraisal	appraise	-al	V	N
apprehensive	apprehend	-ive	V	ADJ
arouse	rouse	a-	N	V
ashore	shore	a-	N	ADV
ashore	shore	a-	N	N
assassinate	assassin	-ate	N	V
astonish	stun	a-	V	V
attendant	attend	-ant	V	ADJ
attentive	attention	-ive	N	ADJ
auditorium	auditory	-ium	ADJ	N
auditorium	audit	-orium	N	N
automation	automatic	-ion	ADJ	N
automation	automate	-ion	ADJ	N
aviation	aviate	-ion	V	N
awake	wake	a-	N	V
awake	wake	a-	N	ADJ
backward	back	-ward	N	ADJ
baggage	bag	-age	N	N
bandage	band	-age	N	N
banner	ban	-er	V	N
bearing	bear	-ing	N	V
bearing	bear	-ing	N	N
beloved	belove	-ed	V	ADJ
beloved	love	be-	N	ADJ
betray	tray	be-	N	V
beware	ware	be-	ADJ	V
bewilder	intensifier	be-	N	V
bewilder	wilder	be-	V	V
bipedal	biped	-al	N	ADJ
blunder	blend	-er	N	N
bowling	bowl	-ing	N	N
breadth	broad	-th	ADJ	N
brittle	brit	-le	U	ADJ
brutal	brute	-al	N	ADJ
bulletin	bullet	-in	N	N
bully	bull	-y	N	N
butcher	butch	-er	ADJ	ADJ
bypass	pass	by-	N	N
cautious	caution	-ous	N	ADJ
cent	c	-ent	V	N
centigrade	grade	centi-	N	ADJ
centimetre	metre	centi-	V	N
chill	will	ch-	V	V
civility	civil	-ity	ADJ	N
civilize	civil	-ize	ADJ	V
clarify	clarity	-fy	N	V
clarify	clarity	-ify	N	V
clockwise	clock	-wise	N	ADV
clockwise	clock	-wise	N	ADJ
clumsy	clumse	-y	N	ADJ
cohesive	cohesion	-ive	N	ADJ
coincidence	coincide	-ence	V	N
coincidence	coincident	-ence	ADJ	N
communism	communise	-ism	V	N
comparative	compare	-ative	V	ADJ
compelling	compel	-ling	V	ADJ
compliance	comply	-ance	V	N
complication	complicate	-ion	V	N
conclusive	conclude	-ive	V	ADJ
conclusive	conclusion	-ive	N	ADJ
conductor	conduct	-or	N	N
conformity	conform	-ity	V	N
congratulation	congratulate	-ion	V	N
congratulation	gratulation	con-	N	N
conjunction	conjunct	-ion	N	N
connotation	connote	-ation	V	N
considerate	consider	-ate	V	ADJ
continual	continue	-al	N	ADJ
convenience	convenient	-ence	ADJ	N
conversely	converse	-ly	N	ADV
corresponding	correspond	-ing	V	ADJ
cosmic	cosmos	-ic	N	ADJ
cripple	creep	-le	V	ADJ
cunning	con	-ing	V	ADJ
cunning	con	-ing	V	N
curiosity	curious	-ity	ADJ	N
customary	custom	-ary	N	N
cyberspace	space	cyber-	N	N
datum	data	-um	N	N
dazzle	daze	-le	V	V
decisive	decision	-ive	N	ADJ
decompose	compose	de-	V	V
deficiency	deficit	-ency	N	N
deficiency	deficient	-cy	ADJ	N
deform	form	de-	N	V
denial	deny	-al	N	N
depress	press	de-	N	V
descendant	descend	-ant	V	N
destiny	destine	-y	V	N
destructive	destruct	-ive	V	ADJ
detector	detect	-or	V	N
dictation	dictate	-ion	N	N
differentiate	differential	-ate	ADJ	V
disable	able	dis-	N	V
disappoint	appoint	dis-	V	V
disastrous	disaster	-ous	N	ADJ
discard	card	dis-	N	V
discriminate	criminate	dis-	V	V
dislike	like	dis-	ADJ	N
disposition	dispose	-ition	V	N
disposition	dispose	-tion	V	N
disregard	regard	dis-	N	N
disregard	regard	dis-	N	V
diversion	diverse	-ion	ADJ	N
doctorate	doctor	-ate	N	N
dormant	dorm	-ant	N	ADJ
downward	down	-ward	ADV	ADV
dramatize	drama	-ize	N	V
dramatize	dramatic	-ize	ADJ	V
dwelling	dwell	-ing	V	V
dwelling	dwell	-ing	V	N
dynasty	dynast	-y	N	N
earnest	earn	-est	V	V
economical	economic	-al	ADJ	ADJ
editorial	editor	-ial	N	ADJ
electrician	electric	-ian	ADJ	N
embed	bed	en-	N	V
embed	bed	em-	N	V
embody	body	em-	N	V
emigrate	emigre	-ate	N	V
enclosure	enclose	-ure	V	N
ending	end	-ing	N	N
ending	end	-ing	N	V
endurance	endure	-ance	V	N
energetic	energy	-etic	N	ADJ
enlarge	large	en-	ADJ	V
enlighten	light	-en	ADJ	V
enlist	list	en-	V	V
enrich	rich	en-	N	V
entail	tail	en-	N	V
epidemic	demic	epi-	ADJ	N
equator	equation	-or	N	N
exceedingly	exceeding	-ly	V	ADV
exploitation	exploit	-ation	N	N
explosive	explosion	-ive	N	ADJ
fabulous	fable	-ous	N	ADJ
fairy	fey	-ry	ADJ	N
faithful	faith	-ful	N	ADJ
