# UniMorph eng 66e0e9e8e2dcd196da081a25a48e5c1fe3d8b49b | sha256 743fff8ddb3ff26ae413af1fa859806106ffff69628be4cb7ed4d34f677deed2 | pack toefl | entries 2067
abandoned	abandon	-ed	N	ADJ
abandonment	abandon	-ment	N	N
abashed	abash	-ed	V	ADJ
abbreviation	abbreviate	-ion	V	N
abduct	abduce	-t	V	V
abhorrent	abhor	-ent	V	ADJ
abide	bide	a-	V	V
abiding	abide	-ing	N	ADJ
abiding	abide	-ing	N	N
ablaze	blaze	a-	N	ADJ
abnormal	normal	ab-	ADJ	ADJ
aboard	board	a-	N	ADV
aboard	board	a-	N	N
abolition	abolish	-tion	V	N
abolitionist	abolition	-ist	N	ADJ
abolitionist	abolition	-ist	N	N
abortive	abort	-ive	N	ADJ
abrasion	abrade	-ion	V	N
abrasive	abrase	-ive	ADJ	ADJ
abrasive	abrasion	-ive	N	ADJ
absentee	absent	-ee	ADJ	N
absenteeism	absentee	-ism	N	N
absorbing	absorb	-ing	V	ADJ
abstinence	abstain	-ence	V	N
abstraction	abstract	-ion	N	N
abundance	abundant	-ce	ADJ	N
abundantly	abundant	-ly	ADJ	ADV
abut	butt	a-	N	V
academician	academic	-ian	ADJ	N
acceleration	accelerate	-ion	V	N
accessibility	accessible	-ity	ADJ	N
accessory	access	-ory	N	ADJ
accidental	accident	-al	N	ADJ
accidentally	accidental	-ly	ADJ	ADV
acclaimed	acclaim	-ed	N	ADJ
accommodating	accommodate	-ing	V	ADJ
accompaniment	accompany	-ment	V	N
accomplished	accomplish	-ed	V	ADJ
accredit	credit	ac-	N	V
accumulation	accumulate	-ion	V	N
accusation	accuse	-ation	V	N
accustomed	accustom	-ed	V	ADJ
acidic	acid	-ic	ADJ	ADJ
acidity	acid	-ity	ADJ	N
acoustical	acoustic	-al	ADJ	ADJ
acquaintance	acquaint	-ance	V	N
acquisitive	acquisition	-ive	N	ADJ
acquit	quit	a-	V	V
acrimonious	acrimony	-ous	N	ADJ
acting	act	-ing	N	ADJ
activate	active	-ate	ADJ	V
adaptable	adapt	-able	V	ADJ
adaptation	adapt	-ation	V	N
adaptive	adapt	-ive	V	ADJ
addicted	addict	-ed	ADJ	ADJ
addictive	addiction	-ive	N	ADJ
additive	addition	-ive	N	ADJ
adherence	adhere	-ence	V	N
adhesive	adhesion	-ive	N	ADJ
adjoining	adjoin	-ing	V	ADJ
admirable	admire	-able	V	ADJ
admiration	admire	-ation	V	N
admittedly	admitted	-ly	V	ADV
adornment	adorn	-ment	ADJ	N
adulteration	adulterate	-ion	V	N
advancement	advance	-ment	ADJ	N
adventurer	adventure	-er	N	N
adventurous	adventure	-ous	N	ADJ
adversely	adverse	-ly	ADJ	ADV
adversity	adverse	-ity	ADJ	N
advisable	advise	-able	V	ADJ
aerodynamics	dynamics	aero-	N	N
aerodynamics	aerodynamic	-s	ADJ	N
aesthetical	aesthetic	-al	ADJ	ADJ
aesthetical	aesthetics	-al	N	ADJ
affected	affect	-ed	N	ADJ
affectionate	affection	-ate	N	ADJ
affective	affect	-ive	V	ADJ
affinity	affine	-ity	ADJ	N
affliction	afflict	-ion	V	N
affluence	affluent	-ence	ADJ	N
affordable	afford	-able	V	ADJ
aggravating	aggravate	-ing	V	V
aggregation	aggregate	-ion	V	N
aggression	aggress	-ion	N	N
aggressiveness	aggressive	-ness	ADJ	N
aghast	ghast	a-	V	ADJ
agility	agile	-ity	ADJ	N
agitation	agitate	-tion	ADJ	N
agitation	agitate	-ion	ADJ	N
aglow	glow	a-	N	ADJ
agonize	agony	-ize	N	V
agreeable	agree	-able	V	ADJ
ailment	ail	-ment	N	N
airborne	air	-borne	N	ADJ
airsickness	airsick	-ness	ADJ	N
ajar	char	a-	V	ADV
ajar	jar	a-	N	ADV
akin	kin	a-	N	ADJ
alienate	alien	-ate	ADJ	ADJ
alight	light	a-	N	V
alignment	align	-ment	V	N
allusion	allude	-ion	V	N
aloft	loft	a-	N	ADV
alternately	alternate	-ly	ADJ	ADV
alternation	alternate	-ion	ADJ	N
aluminium	alumina	-ium	N	N
amass	mass	a-	N	V
amaze	maze	a-	N	V
amazement	amaze	-ment	V	N
ambience	ambient	-ence	ADJ	N
ambivalence	valence	ambi-	N	N
ambivalence	ambivalent	-ence	ADJ	N
amplification	amplify	-ification	V	N
amplify	ample	-ify	ADJ	V
analogous	analogy	-ous	N	ADJ
anarchist	anarchy	-ist	N	N
anecdotal	anecdote	-al	N	ADJ
anesthesia	aesthesia	an-	N	N
angular	angle	-ar	N	ADJ
animated	animate	-ed	ADJ	ADJ
announcer	announce	-er	V	N
annoying	annoy	-ing	V	ADJ
anomalous	anomaly	-ous	N	ADJ
antagonism	antagonise	-ism	V	N
antagonist	agonist	ant-	N	N
antagonist	antagonise	-t	V	N
antagonist	antagonise	-ist	V	N
antedate	date	ante-	N	V
antibiotic	biotic	anti-	ADJ	N
anticipation	anticipate	-ion	V	N
antiquate	antique	-ate	ADJ	V
antiquity	antique	-ity	ADJ	N
antiseptic	septic	anti-	ADJ	ADJ
antiseptic	antisepsis	-ic	N	ADJ
apathetic	apathy	-etic	N	ADJ
appealing	appeal	-ing	N	ADJ
appliance	apply	-ance	V	N
appraisal	appraise	-al	V	N
appreciable	appreciate	-able	V	ADJ
appropriation	appropriate	-ion	ADJ	N
aptitude	apt	-itude	ADJ	N
aptly	apt	-ly	ADJ	ADV
arbitration	arbitrate	-ion	V	N
arbitrator	arbitrate	-or	V	N
archaeological	archaeology	-ical	N	ADJ
architectural	architecture	-al	N	ADJ
armor	arm	-or	ADJ	N
armored	armor	-ed	N	ADJ
arms	arm	-s	N	N
aromatic	aroma	-ic	N	ADJ
arouse	rouse	a-	N	V
arrogance	arrogant	-ce	ADJ	N
ascending	ascend	-ing	V	V
ascribe	scribe	a-	N	V
aspiration	aspire	-ation	V	N
aspiration	aspirate	-ion	N	N
aspiring	aspire	-ing	V	ADJ
assassinate	assassin	-ate	N	V
assemblage	assemble	-age	V	N
assistantship	assistant	-ship	ADJ	N
assorted	assort	-ed	V	ADJ
assortment	assort	-ment	N	N
assuredly	assured	-ly	ADJ	ADV
asteroid	aster	-oid	N	N
astonish	stun	a-	V	V
astonished	astonish	-ed	V	ADJ
astonishing	astonish	-ing	V	ADJ
astounding	astound	-ing	V	ADJ
astronomical	astronomy	-ical	N	ADJ
asymmetrical	symmetrical	a-	ADJ	ADJ
asymmetrical	asymmetry	-ical	N	ADJ
atheist	atheism	-ist	N	N
atomic	atom	-ic	N	ADJ
atomization	atom	-ization	N	N
attached	attach	-ed	V	ADJ
attachment	attach	-ment	V	N
attainment	attain	-ment	V	N
attendant	attend	-ant	V	ADJ
audition	audit	-ion	N	N
auditorium	auditory	-ium	ADJ	N
auditorium	audit	-orium	N	N
auditory	auditor	-y	N	ADJ
auspicious	auspice	-ious	N	ADJ
austerity	austere	-ity	ADJ	N
authenticate	authentic	-ate	ADJ	V
authoritative	authority	-ative	N	ADJ
autobiographical	autobiography	-ical	N	ADJ
autobiographical	biographical	auto-	ADJ	ADJ
autobiography	biography	auto-	N	N
automotive	motive	auto-	N	ADJ
autonomous	autonomy	-ous	N	ADJ
avaricious	avarice	-ious	N	ADJ
aversion	averse	-ion	ADJ	N
aviation	aviate	-ion	V	N
aviator	aviate	-or	V	N
avocational	avocation	-al	N	ADJ
avoidable	avoid	-able	V	ADJ
avoidance	avoid	-ance	V	N
avouch	vouch	a-	V	V
avow	vow	a-	N	V
awkwardly	awkward	-ly	ADJ	ADV
baby-sitter	baby-sit	-er	V	N
backbone	bone	back-	N	N
backpack	pack	back-	N	N
backward	back	-ward	N	ADJ
badger	badge	-er	N	N
baggage	bag	-age	N	N
balanced	balance	-ed	N	V
balloonist	balloon	-ist	N	N
balmy	balm	-y	N	ADJ
banner	ban	-er	V	N
barrenness	barren	-ness	ADJ	N
bashful	abashed	-ful	ADJ	ADJ
bashful	abash	-ful	V	ADJ
batter	bat	-er	N	N
batter	batting	-er	N	N
becoming	become	-ing	V	V
bedeck	deck	be-	V	V
befuddle	fuddle	be-	V	V
befuddle	fundle	be-	V	V
beget	get	be-	V	V
begrudge	grudge	be-	N	V
beguile	guile	be-	N	V
belie	lie	be-	N	V
believer	believe	-er	V	N
belittle	little	be-	ADJ	V
bellows	bellow	-s	N	N
bent	bend	-t	V	V
berate	rate	be-	N	V
bereave	reave	be-	V	V
beset	set	be-	ADJ	V
besiege	siege	be-	N	V
bespeak	speak	be-	V	V
bestow	stow	be-	U	V
bestow	stow	be-	V	V
betoken	token	be-	V	V
betray	tray	be-	N	V
bewilder	intensifier	be-	N	V
bewilder	wilder	be-	V	V
bicameral	cameral	bi-	ADJ	ADJ
bidding	bid	-ing	V	N
bigoted	bigot	-ed	N	ADJ
bigotry	bigot	-ry	N	N
bilateral	lateral	bi-	ADJ	ADJ
biochemistry	chemistry	bio-	N	N
biochemistry	biochemist	-ry	N	N
biographer	biography	-er	N	N
biologist	biology	-ist	N	N
bipedal	biped	-al	N	ADJ
bitterness	bitter	-ness	N	N
blazing	blaze	-ing	N	ADJ
blessing	bless	-ing	V	N
blues	blue	-s	ADJ	N
blunder	blend	-er	N	N
boarder	board	-er	N	N
boastful	boast	-ful	N	ADJ
bodily	body	-ly	N	ADJ
bodily	body	-ly	N	ADV
bombastic	bombast	-ic	N	ADJ
bondage	bond	-age	N	N
boredom	bore	-dom	N	N
botanical	botany	-ical	N	ADJ
boundless	bound	-less	N	ADJ
brandish	brand	-ish	N	V
brawling	brawl	-ing	V	V
breathing	breathe	-ing	V	N
breathing	breath	-ing	N	V
breathless	breath	-less	N	ADJ
brighten	bright	-en	ADJ	V
brilliance	brilliant	-ance	ADJ	N
brilliance	brilliant	-ce	ADJ	N
brilliantly	brilliant	-ly	ADJ	ADV
briny	brine	-y	N	ADJ
briskness	brisk	-ness	ADJ	N
brittle	brit	-le	U	ADJ
broaden	broad	-en	ADJ	V
brownish	brown	-ish	N	ADJ
brutal	brute	-al	N	ADJ
buckle	buck	-le	N	V
buggy	bug	-y	N	N
bulky	bulk	-y	N	ADJ
bully	bull	-y	N	N
burdensome	burden	-some	N	ADJ
burnish	burn	-ish	N	V
buzzer	buzz	-er	V	N
by-product	product	by-	N	N
byword	word	by-	N	N
calculator	calculate	-or	V	N
calibration	calibrate	-ion	V	N
cancellation	cancel	-ation	N	N
cannibalism	cannibal	-ism	N	N
canny	can	-y	V	ADJ
canter	cant	-er	N	N
capacious	capacity	-ous	N	ADJ
captivate	captive	-ate	N	V
captivity	captive	-ity	N	N
careerism	career	-ism	N	N
careless	care	-less	N	ADJ
carelessly	careless	-ly	ADJ	ADV
carnivorous	carnivore	-ous	ADJ	ADJ
carver	carve	-er	N	N
carving	carve	-ing	N	N
casting	cast	-ing	V	V
casting	cast	-ing	V	N
catalyst	catalyse	-t	V	N
catching	catch	-ing	N	N
categorical	category	-ical	N	ADJ
categorize	category	-ize	N	V
cautious	caution	-ous	N	ADJ
cautiously	cautious	-ly	ADJ	ADV
ceaseless	cease	-less	V	ADJ
celebrated	celebrate	-ed	V	ADJ
cellist	cello	-ist	N	N
centigrade	grade	centi-	N	ADJ
ceramics	ceramic	-s	N	N
ceremonial	ceremony	-al	N	N
ceremonious	ceremony	-ous	N	ADJ
chaotic	chaos	-otic	N	ADJ
chary	care	-y	N	ADJ
chiefly	chief	-ly	N	ADV
chiefly	chief	-ly	N	ADJ
chill	will	ch-	V	V
chilly	chill	-y	ADJ	ADJ
chilly	chill	-y	ADJ	N
choppy	chop	-y	U	ADJ
choreographer	choreograph	-er	V	N
choreographic	choreography	-ic	N	ADJ
choreography	choreograph	-y	V	N
chronological	chronology	-ical	N	ADJ
chubby	chub	-y	N	ADJ
chuckle	chuck	-le	N	N
circuitous	circuit	-ous	N	ADJ
circumscribe	scribe	circum-	N	V
citizenship	citizen	-ship	N	N
civility	civil	-ity	ADJ	N
clamorous	clamor	-ous	N	ADJ
clarification	clarify	-ification	V	N
clarify	clarity	-fy	N	V
clarify	clarity	-ify	N	V
clergyman	clergy	-man	N	N
climatic	climate	-ic	N	ADJ
clockwise	clock	-wise	N	ADV
clockwise	clock	-wise	N	ADJ
clumsy	clumse	-y	N	ADJ
clutter	clot	-er	N	N
coalescence	coalesce	-ence	V	N
codify	code	-ify	N	V
codify	code	-fy	N	V
coexist	exist	co-	V	V
coherence	cohere	-ence	V	N
coherence	coherent	-ence	ADJ	N
cohesive	cohesion	-ive	N	ADJ
coinage	coin	-age	N	N
coincidence	coincide	-ence	V	N
coincidence	coincident	-ence	ADJ	N
coincident	incident	co-	N	ADJ
colloquial	colloquy	-al	N	ADJ
colloquialism	colloquial	-ism	ADJ	N
collusion	collude	-ion	V	N
colonize	colony	-ize	N	V
combustible	combust	-ible	V	ADJ
combustion	combust	-ion	V	N
cometary	comet	-ary	N	ADJ
comical	comic	-al	ADJ	ADJ
commentary	comment	-ary	N	N
commentator	comment	-ator	N	N
commercialize	commercial	-ize	ADJ	V
commingle	mingle	co-	V	V
commingle	mingle	com-	V	V
committed	commit	-ed	V	V
communal	commune	-al	N	ADJ
commuter	commute	-er	V	N
compaction	compact	-ion	N	N
comparative	compare	-ative	V	ADJ
comparatively	comparative	-ly	ADJ	ADV
compensatory	compensate	-ory	V	ADJ
competitiveness	competitive	-ness	ADJ	N
complacence	complacent	-ence	ADJ	N
complementary	complement	-ary	N	ADJ
complication	complicate	-ion	V	N
complicity	complicit	-ity	ADJ	N
complicity	complicit	-y	ADJ	N
complimentary	compliment	-ary	N	ADJ
composed	compose	-ed	V	ADJ
composure	compose	-ure	V	N
compressed	compress	-ed	V	ADJ
compression	compress	-ion	V	N
compulsive	compulsion	-ive	N	ADJ
computation	compute	-ation	V	N
concentric	concentre	-ic	V	ADJ
