# UniMorph eng 66e0e9e8e2dcd196da081a25a48e5c1fe3d8b49b | sha256 743fff8ddb3ff26ae413af1fa859806106ffff69628be4cb7ed4d34f677deed2 | pack zk | entries 47
aloud	loud	a-	ADJ	ADV
awake	wake	a-	N	V
awake	wake	a-	N	ADJ
careless	care	-less	N	ADJ
cent	c	-ent	V	N
cloudy	cloud	-y	N	ADJ
cooker	cook	-er	N	N
email	mail	e-	N	N
eraser	erase	-er	V	N
foreigner	foreign	-er	ADJ	N
granddaughter	daughter	grand-	N	N
grandpa	pa	grand-	N	N
grandparent	parent	grand-	N	N
grandson	son	grand-	N	N
grandson	grand	-son	N	N
greeting	greet	-ing	V	ADJ
hamburger	hamburg	-er	N	N
homework	home	-work	N	N
housework	house	-work	N	N
humorous	humor	-ous	N	ADJ
invention	invent	-ion	V	N
kilogram	gram	kilo-	N	N
kilometre	metre	kilo-	V	N
lazy	lays	-y	N	ADJ
lazy	laze	-y	V	ADJ
lemonade	lemon	-ade	N	N
oneself	one	-self	N	U
overcoat	coat	over-	N	N
pancake	cake	pan-	N	N
postcard	card	post-	N	N
postman	post	-man	N	N
rainy	rain	-y	N	ADJ
recorder	record	-er	N	N
retell	tell	re-	V	V
riddle	rede	-le	N	N
rubber	rub	-er	V	N
shorts	short	-s	N	N
sleepy	sleep	-y	N	ADJ
snowy	snow	-y	N	ADJ
sunny	sun	-y	N	ADJ
sweater	sweat	-er	N	N
tenth	ten	-th	N	ADJ
theirs	their	-s	ADV	U
thirsty	thirst	-y	N	ADJ
tidy	tide	-y	N	ADJ
twelfth	twelve	-th	N	ADJ
underground	ground	under-	N	ADV
violin	viola	-in	N	N
website	web	-ite	N	N
windy	wind	-y	N	ADJ
